Idx,Type,Region,Name,Longitude,Latitude,Connections,MAC,IP
MIDPOINT,PMU,IPCO,MIDPOINT,42.934919,-114.419206,S-IPCO,None,192.168.1.88
MIDPOINT3,PMU,IPCO,MIDPOINT3,42.731919,-114.419206,S-IPCO,None,192.168.1.89
MOHAVE,PMU,IPCO,MOHAVE,34.947654,-114.595307,S-IPCO,None,192.168.1.90
MOHAV1CC,PMU,IPCO,MOHAV1CC,35.148654,-114.595307,S-IPCO,None,192.168.1.91
CASTAIC,PMU,LADW,CASTAIC,34.537507,-118.607375,S-LADW,None,192.168.1.92
CASTAI4G,PMU,LADW,CASTAI4G,34.587507,-118.658375,S-LADW,None,192.168.1.93
GLENDAL,PMU,LADW,GLENDAL,34.157904,-118.280282,S-LADW,None,192.168.1.94
OLIVE,PMU,LADW,OLIVE,34.313143,-118.690631,S-LADW,None,192.168.1.95
OWENSG,PMU,LADW,OWENSG,34.545782,-118.389938,S-LADW,None,192.168.1.96
RINALDI,PMU,LADW,RINALDI,34.380686,-118.478496,S-LADW,None,192.168.1.97
RINALDI3,PMU,LADW,RINALDI3,34.111686,-118.478496,S-LADW,None,192.168.1.98
RIVER,PMU,LADW,RIVER,34.137762,-118.299917,S-LADW,None,192.168.1.99
STAE,PMU,LADW,STAE,34.01865,-118.195428,S-LADW,None,192.168.1.100
STAE3,PMU,LADW,STAE3,34.01865,-118.395428,S-LADW,None,192.168.1.101
SYLMARLA,PMU,LADW,SYLMARLA,34.312456,-118.481217,S-LADW,None,192.168.1.102
SYLMARS,PMU,LADW,SYLMARS,34.315456,-118.891217,S-LADW,None,192.168.1.103
VALLEY,PMU,LADW,VALLEY,34.2436,-118.391667,S-LADW,None,192.168.1.104
COULEE,PMU,LADW,COULEE,47.954899,-118.997945,S-LADW,None,192.168.1.105
HANFORD,PMU,LADW,HANFORD,46.669335,-119.571501,S-LADW,None,192.168.1.106
BURNS,PMU,LADW,BURNS,43.78473,-118.77463,S-LADW,None,192.168.1.107
BURNS1,PMU,LADW,BURNS1,43.620189,-118.865882,S-LADW,None,192.168.1.108
MIDWAY,PMU,LADW,MIDWAY,35.403217,-119.450452,S-LADW,None,192.168.1.109
MIDWAY3,PMU,LADW,MIDWAY3,35.352217,-119.450452,S-LADW,None,192.168.1.110
EAGLROCK,PMU,LADW,EAGLROCK,34.150835,-118.184318,S-LADW,None,192.168.1.111
ELDORADO,PMU,LADW,ELDORADO,34.20835,-118.184318,S-LADW,None,192.168.1.112
ELDORADO3,PMU,LADW,ELDORADO3,34.101835,-118.184318,S-LADW,None,192.168.1.113
